,species,site,site_type,sample_type,d15N,d13c
41,european plum,8,nonnative,control,33.11,-25.81
42,european plum,8,nonnative,enriched,181.13,-26.35
43,flowering dogwood,1,native,control,-0.92,-28.15
44,flowering dogwood,1,native,enriched,587.68,-29.30
45,flowering dogwood,3,native,control,3.32,-27.31
46,flowering dogwood,3,native,enriched,219.84,-27.46
47,flowering dogwood,9,nonnative,control,1.03,-31.10
48,flowering dogwood,10,nonnative,control,0.35,-29.85
49,flowering dogwood,13,native,control,3.86,-28.18
50,flowering dogwood,13,native,enriched,759.66,-28.40
51,flowering dogwood,14,native,control,2.50,-27.50
52,flowering dogwood,14,native,enriched,409.50,-28.90
53,flowering dogwood,15,native,control,1.34,-28.42
54,flowering dogwood,15,native,enriched,583.22,-26.89
55,flowering dogwood,16,native,control,2.73,-26.54
56,flowering dogwood,16,native,enriched,1034.67,-26.47
57,flowering dogwood,18,native,control,-0.32,-28.04
58,flowering dogwood,18,native,enriched,925.56,-29.73
59,flowering dogwood,19,native,control,0.01,-26.87
60,flowering dogwood,19,native,enriched,634.57,-27.77
61,flowering dogwood,20,native,control,9.03,-28.32
62,flowering dogwood,20,native,enriched,395.66,-29.08
63,flowering dogwood,23,native,control,-1.52,-29.93
64,flowering dogwood,23,native,enriched,802.86,-28.95
65,forsythia,9,nonnative,enriched,506.10,-29.58
66,fragrant snowbell,4,nonnative,control,0.11,-28.80
67,fragrant snowbell,4,nonnative,enriched,257.03,-28.44
