ID,taxa,tissue_type,species,site,site_type,sample_type,year,Linear.corr.d15N,wt..N,Linear.corr.d13C,wt..C,cal_sample_date,enrich_day,days_since_enrich
N15-NHOWR-059,bird,rbc,howr,2,native,enriched,2015,14.12,14.85,-24.57,49.40,147,124,23
N15-NHOWR-060,bird,rbc,howr,3,native,enriched,2015,8.05,15.43,-23.72,49.58,160,128,32
N15-NHOWR-061,bird,rbc,howr,16,native,enriched,2015,7.16,15.22,-23.96,48.78,156,130,26
N15-NHOWR-062,bird,rbc,howr,2,native,enriched,2015,6.10,15.72,-24.50,49.95,161,124,37
N15-NHOWR-063,bird,rbc,howr,1,native,enriched,2015,7.70,14.69,-25.04,48.88,169,130,39
N15-NHOWR-064,bird,rbc,howr,3,native,enriched,2015,7.84,15.36,-24.17,49.31,140,128,12
N15-NHOWR-065,bird,rbc,howr,1,native,enriched,2015,9.06,14.16,-24.79,48.26,169,130,39
N15-NHOWR-066,bird,rbc,howr,17,native,enriched,2015,6.14,15.90,-24.14,50.46,188,140,48
N15-NHOWR-067,bird,rbc,howr,2,native,enriched,2015,10.99,14.52,-24.68,48.39,161,124,37
N15-NHOWR-068,bird,rbc,howr,2,native,enriched,2015,15.75,14.26,-25.04,49.18,140,124,16
N15-NHOWR-069,bird,rbc,howr,3,native,enriched,2015,12.10,15.65,-24.26,50.25,146,128,18
N15-NHOWR-070,bird,rbc,howr,16,native,enriched,2015,7.15,14.82,-23.88,49.60,156,130,26
N15-NHOWR-071,bird,rbc,howr,17,native,enriched,2015,6.01,15.33,-24.03,48.96,156,140,16
N15-NHOWR-073,bird,rbc,howr,15,native,enriched,2015,8.27,14.51,-24.11,49.06,149,134,15
N15-NHOWR-075,bird,rbc,howr,1,native,enriched,2015,6.46,15.72,-24.36,50.10,148,130,18
E15-NHOWR-138,bird,rbc,howr,7,nonnative,enriched,2015,7.78,15.34,-24.25,49.08,168,125,43
E15-NHOWR-139,bird,rbc,howr,25,nonnative,enriched,2015,5.70,15.27,-23.96,48.63,161,125,36
E15-NHOWR-140,bird,rbc,howr,12,nonnative,enriched,2015,6.59,15.01,-23.97,49.45,153,121,32
